id;d_sor_name;d_fore_name;d_pic;d_pic_content_type;d_berth_place;d_career;d_education;d_date_born;d_date_dead;d_not_active
1;Assistant interactive stable;Cape Cyprus;../fake-data/blob/hipster.png;image/png;solutions;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;true
2;Direct;Checking Account grow Soap;../fake-data/blob/hipster.png;image/png;Handmade Rubber Keyboard frictionless Soap;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;true
3;synthesizing port;Swiss Franc Central Hollow;../fake-data/blob/hipster.png;image/png;Virtual Oklahoma compelling;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;true
4;syndicate;River models Buckinghamshire;../fake-data/blob/hipster.png;image/png;Persevering;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;true
5;maroon reboot application;Networked;../fake-data/blob/hipster.png;image/png;International;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;false
6;copy invoice deposit;Unbranded e-services object-oriented;../fake-data/blob/hipster.png;image/png;Borders Optimization;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;false
7;optical Marketing Phased;calculate Sleek Cotton Shoes Corporate;../fake-data/blob/hipster.png;image/png;Legacy Credit Card Account withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;false
8;Ergonomic;AI;../fake-data/blob/hipster.png;image/png;Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;true
9;generate;hierarchy;../fake-data/blob/hipster.png;image/png;Awesome Wooden Ball;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;false
10;payment multi-byte;teal indexing Fall;../fake-data/blob/hipster.png;image/png;disintermediate magnetic Pants;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07;2020-11-07;false
