id;b_name;b_email;b_phone;b_content;b_not_active
1;Berkshire Iowa Cambridgeshire;black;Officer connecting Algerian Dinar;../fake-data/blob/hipster.txt;true
2;eyeballs;Berkshire;invoice Keyboard;../fake-data/blob/hipster.txt;false
3;Azerbaijan;payment non-volatile;Berkshire;../fake-data/blob/hipster.txt;false
4;Dynamic virtual;Belize;Illinois Salad;../fake-data/blob/hipster.txt;false
5;XSS;quantifying Checking Account;system;../fake-data/blob/hipster.txt;true
6;silver;Plains;implementation withdrawal contextually-based;../fake-data/blob/hipster.txt;false
7;Investment Account;Analyst Refined;Gorgeous Concrete Sausages;../fake-data/blob/hipster.txt;false
8;Borders Handmade alarm;withdrawal;bandwidth program;../fake-data/blob/hipster.txt;true
9;multi-byte yellow;systems Devolved override;Cambridgeshire;../fake-data/blob/hipster.txt;true
10;Persevering connecting Solutions;deposit deposit;frictionless web-readiness;../fake-data/blob/hipster.txt;false
